skill,week_start,actual_count,forecast_count,model_name
spark,2023-10-30,1869,1988.0,naive
spark,2023-11-06,1821,1988.0,naive
spark,2023-11-13,2010,1988.0,naive
spark,2023-11-20,2249,1988.0,naive
spark,2023-11-27,1867,1988.0,naive
spark,2023-12-04,1873,1988.0,naive
spark,2023-12-11,2079,1988.0,naive
spark,2023-12-18,1712,1988.0,naive
spark,2023-12-25,1214,1988.0,naive
spark,2023-10-09,2038,1948.4919737836303,exp_smoothing
spark,2023-10-16,2017,1934.6699258347498,exp_smoothing
spark,2023-10-23,1957,1920.8478778858696,exp_smoothing
spark,2023-10-30,1869,1907.0258299369893,exp_smoothing
spark,2023-11-06,1821,1893.2037819881089,exp_smoothing
spark,2023-11-13,2010,1879.3817340392286,exp_smoothing
spark,2023-11-20,2249,1865.5596860903484,exp_smoothing
spark,2023-11-27,1867,1851.7376381414679,exp_smoothing
spark,2023-12-04,1873,1837.9155901925876,exp_smoothing
spark,2023-12-11,2079,1824.0935422437074,exp_smoothing
spark,2023-12-18,1712,1810.2714942948269,exp_smoothing
spark,2023-12-25,1214,1796.4494463459466,exp_smoothing
spark,2023-10-09,2038,2054.3668396606636,arima
spark,2023-10-16,2017,2094.763474789271,arima
spark,2023-10-23,1957,2119.352383015997,arima
spark,2023-10-30,1869,2134.3193327596446,arima
spark,2023-11-06,1821,2143.4295210837195,arima
spark,2023-11-13,2010,2148.9747746404996,arima
spark,2023-11-20,2249,2152.35009860913,arima
spark,2023-11-27,1867,2154.404614561656,arima
spark,2023-12-04,1873,2155.655171793618,arima
spark,2023-12-11,2079,2156.4163697723875,arima
spark,2023-12-18,1712,2156.8797011162665,arima
spark,2023-12-25,1214,2157.1617249001024,arima
sql,2023-10-09,7278,6976.0,naive
sql,2023-10-16,7040,6976.0,naive
sql,2023-10-23,6815,6976.0,naive
sql,2023-10-30,6633,6976.0,naive
sql,2023-11-06,6703,6976.0,naive
sql,2023-11-13,6942,6976.0,naive
sql,2023-11-20,7398,6976.0,naive
sql,2023-11-27,6454,6976.0,naive
sql,2023-12-04,6941,6976.0,naive
sql,2023-12-11,6610,6976.0,naive
sql,2023-12-18,6086,6976.0,naive
sql,2023-12-25,4064,6976.0,naive
sql,2023-10-09,7278,6907.403143130504,exp_smoothing
sql,2023-10-16,7040,6881.546099841571,exp_smoothing
sql,2023-10-23,6815,6855.689056552637,exp_smoothing
sql,2023-10-30,6633,6829.8320132637045,exp_smoothing
sql,2023-11-06,6703,6803.974969974771,exp_smoothing
sql,2023-11-13,6942,6778.117926685838,exp_smoothing
sql,2023-11-20,7398,6752.260883396904,exp_smoothing
sql,2023-11-27,6454,6726.4038401079715,exp_smoothing
sql,2023-12-04,6941,6700.546796819038,exp_smoothing
sql,2023-12-11,6610,6674.689753530105,exp_smoothing
sql,2023-12-18,6086,6648.832710241171,exp_smoothing
sql,2023-12-25,4064,6622.9756669522385,exp_smoothing
sql,2023-10-09,7278,7089.278027911948,arima
sql,2023-10-16,7040,6976.067553835007,arima
sql,2023-10-23,6815,7089.210514362958,arima
sql,2023-10-30,6633,6976.135027122004,arima
sql,2023-11-06,6703,7089.143081313943,arima
sql,2023-11-13,6942,6976.202419957032,arima
sql,2023-11-20,7398,7089.0757286689195,arima
sql,2023-11-27,6454,6976.269732436019,arima
sql,2023-12-04,6941,7089.008456332017,arima
sql,2023-12-11,6610,6976.336964654777,arima
sql,2023-12-18,6086,7088.94126420748,arima
sql,2023-12-25,4064,6976.404116709005,arima
tableau,2023-10-09,2373,2215.0,naive
tableau,2023-10-16,2306,2215.0,naive
tableau,2023-10-23,2219,2215.0,naive
tableau,2023-10-30,2033,2215.0,naive
tableau,2023-11-06,2112,2215.0,naive
tableau,2023-11-13,2222,2215.0,naive
tableau,2023-11-20,2360,2215.0,naive
tableau,2023-11-27,2003,2215.0,naive
tableau,2023-12-04,2168,2215.0,naive
tableau,2023-12-11,2237,2215.0,naive
tableau,2023-12-18,1915,2215.0,naive
tableau,2023-12-25,1250,2215.0,naive
tableau,2023-10-09,2373,2312.9763785896407,exp_smoothing
tableau,2023-10-16,2306,2304.7650626552604,exp_smoothing
tableau,2023-10-23,2219,2296.5537467208806,exp_smoothing
tableau,2023-10-30,2033,2288.3424307865007,exp_smoothing
tableau,2023-11-06,2112,2280.131114852121,exp_smoothing
tableau,2023-11-13,2222,2271.9197989177405,exp_smoothing
tableau,2023-11-20,2360,2263.7084829833607,exp_smoothing
tableau,2023-11-27,2003,2255.497167048981,exp_smoothing
tableau,2023-12-04,2168,2247.2858511146005,exp_smoothing
tableau,2023-12-11,2237,2239.0745351802207,exp_smoothing
tableau,2023-12-18,1915,2230.863219245841,exp_smoothing
tableau,2023-12-25,1250,2222.651903311461,exp_smoothing
tableau,2023-10-09,2373,2285.8937044584172,arima
tableau,2023-10-16,2306,2328.7105606665173,arima
tableau,2023-10-23,2219,2354.5701654022305,arima
tableau,2023-10-30,2033,2370.188293782259,arima
tableau,2023-11-06,2112,2379.6209953485813,arima
tableau,2023-11-13,2222,2385.317955744494,arima
tableau,2023-11-20,2360,2388.758683464374,arima
tableau,2023-11-27,2003,2390.8367402559998,arima
tableau,2023-12-04,2168,2392.0918003423503,arima
tableau,2023-12-11,2237,2392.8498045637452,arima
tableau,2023-12-18,1915,2393.3076076648886,arima
tableau,2023-12-25,1250,2393.584101744342,arima
